mar_status,empl_status,gender,age
married,Working as paid employee,M,51
married,Working as paid employee,F,53
married,Working as paid employee,M,57
married,Working as paid employee,F,57
married,Working as paid employee,M,60
married,Working as paid employee,F,57
married,"Working, self-employed",M,62
married,Working as paid employee,F,59
married,Not working - other,M,53
married,Not working - retired,F,61
married,Not working - on a temporary layoff from a job,M,34
married,Not working - looking for work,F,32
married,Not working - disabled,M,54
married,"Working, self-employed",F,47
married,Working as paid employee,M,47
married,Not working - other,F,44
married,Working as paid employee,M,52
married,Working as paid employee,F,51
married,Not working - retired,M,58
married,Working as paid employee,F,59
married,Working as paid employee,M,48
married,Working as paid employee,F,47
married,Working as paid employee,M,55
married,Not working - other,F,47
married,Not working - looking for work,M,52
married,Working as paid employee,F,53
married,Working as paid employee,M,27
married,Working as paid employee,F,28
married,Working as paid employee,M,45
married,"Working, self-employed",F,44
married,Working as paid employee,M,58
married,Working as paid employee,F,52
married,Working as paid employee,M,59
married,Working as paid employee,F,57
married,Working as paid employee,M,57
married,Not working - other,F,48
married,Working as paid employee,M,44
married,"Working, self-employed",F,46
married,Working as paid employee,M,39
married,"Working, self-employed",F,38
married,Working as paid employee,M,48
married,Working as paid employee,F,43
married,Working as paid employee,M,50
married,Not working - disabled,F,49
married,Working as paid employee,M,44
married,Not working - other,F,46
married,Not working - retired,M,62
married,Not working - retired,F,58
married,Working as paid employee,M,41
married,Working as paid employee,F,39
unmarried,Not working - disabled,M,58
unmarried,Not working - retired,F,55
married,Working as paid employee,M,30
married,Not working - other,F,29
married,Working as paid employee,M,44
married,Working as paid employee,F,44
married,"Working, self-employed",M,49
married,Working as paid employee,F,49
unmarried,Working as paid employee,M,40
unmarried,Working as paid employee,F,47
married,Working as paid employee,M,46
married,Not working - other,F,41
married,Working as paid employee,M,32
married,Working as paid employee,F,39
married,Working as paid employee,M,54
married,"Working, self-employed",F,56
married,Not working - looking for work,M,53
married,Working as paid employee,F,49
married,Working as paid employee,M,42
married,Working as paid employee,F,47
married,Working as paid employee,M,56
married,"Working, self-employed",F,59
married,Working as paid employee,M,53
married,Not working - looking for work,F,45
married,Working as paid employee,M,53
married,"Working, self-employed",F,49
married,Working as paid employee,M,57
married,Working as paid employee,F,52
married,Working as paid employee,M,34
married,Not working - other,F,29
married,"Working, self-employed",M,64
married,Working as paid employee,F,63
unmarried,Working as paid employee,M,56
unmarried,"Working, self-employed",F,56
married,Not working - disabled,M,46
married,Working as paid employee,F,51
married,Not working - retired,M,58
married,Not working - retired,F,58
married,Working as paid employee,M,50
married,Working as paid employee,F,60
married,Not working - disabled,M,56
married,Not working - disabled,F,59
married,Working as paid employee,M,49
married,Working as paid employee,F,48
married,Working as paid employee,M,52
married,Working as paid employee,F,50
married,Working as paid employee,M,33
married,Working as paid employee,F,28
unmarried,Working as paid employee,M,55
unmarried,Working as paid employee,F,55
married,Working as paid employee,M,61
married,Working as paid employee,F,62
married,Working as paid employee,M,57
married,Working as paid employee,F,56
unmarried,Working as paid employee,M,41
unmarried,Working as paid employee,F,47
unmarried,Working as paid employee,M,27
unmarried,Not working - other,F,20
married,Working as paid employee,M,59
married,Working as paid employee,F,62
married,Working as paid employee,M,61
married,Not working - retired,F,62
married,Not working - disabled,M,51
married,Working as paid employee,F,44
married,Working as paid employee,M,49
married,Working as paid employee,F,45
married,Working as paid employee,M,55
married,Working as paid employee,F,59
married,Not working - on a temporary layoff from a job,M,35
married,Working as paid employee,F,34
married,Working as paid employee,M,53
married,Working as paid employee,F,47
married,Working as paid employee,M,36
married,Working as paid employee,F,41
married,Working as paid employee,M,40
married,Not working - other,F,43
married,Working as paid employee,M,38
married,Not working - other,F,39
unmarried,Working as paid employee,M,47
unmarried,Not working - disabled,F,45
married,Working as paid employee,M,42
married,Working as paid employee,F,41
married,Working as paid employee,M,49
married,Working as paid employee,F,51
married,Working as paid employee,M,59
married,Working as paid employee,F,58
married,Working as paid employee,M,53
married,Working as paid employee,F,53
married,Working as paid employee,M,44
married,Not working - other,F,42
married,Working as paid employee,M,34
married,Working as paid employee,F,32
married,Working as paid employee,M,40
married,Working as paid employee,F,34
married,Working as paid employee,M,53
married,Not working - other,F,53
married,Working as paid employee,M,41
married,Working as paid employee,F,39
married,Working as paid employee,M,55
married,Working as paid employee,F,48
unmarried,Not working - disabled,M,57
unmarried,Working as paid employee,F,57
married,Working as paid employee,M,37
married,"Working, self-employed",F,36
married,Working as paid employee,M,56
married,Not working - looking for work,F,50
unmarried,Working as paid employee,M,44
unmarried,Working as paid employee,F,43
unmarried,Not working - looking for work,M,30
unmarried,Working as paid employee,F,29
married,Not working - retired,M,63
married,Not working - other,F,61
married,Working as paid employee,M,44
married,Not working - other,F,36
unmarried,Not working - disabled,M,45
unmarried,Working as paid employee,F,40
married,Working as paid employee,M,34
married,Working as paid employee,F,35
unmarried,"Working, self-employed",M,48
unmarried,"Working, self-employed",F,45
married,Working as paid employee,M,39
married,Working as paid employee,F,34
married,Working as paid employee,M,38
married,Working as paid employee,F,34
